year,month,value
1983,5,109.292
1983,6,110.775
1983,7,111.495
1983,8,113.021
1983,9,113.23700000000001
1983,10,112.01299999999999
1983,11,112.92299999999999
1983,12,113.845
1984,1,114.60600000000001
1984,2,113.53200000000001
1984,3,112.448
1984,4,113.381
1984,5,115.4
1984,6,116.2
1984,7,119.251
1984,8,119.54899999999999
1984,9,122.18799999999999
1984,10,123.264
1984,11,121.71799999999999
1984,12,123.40100000000001
1985,1,124.76100000000001
1985,2,128.033
1985,3,128.437
1985,4,125.096
1985,5,125.848
1985,6,124.94200000000001
1985,7,121.866
1985,8,121.365
1985,9,122.37
1985,10,117.81299999999999
1985,11,116.461
1985,12,115.79
1986,1,114.816
1986,2,111.414
1986,3,109.365
1986,4,108.382
1986,5,106.66799999999999
1986,6,107.65799999999999
1986,7,105.78299999999999
1986,8,104.454
1986,9,104.676
1986,10,104.76899999999999
1986,11,105.711
1986,12,105.04899999999999
1987,1,102.18700000000001
1987,2,101.257
1987,3,100.711
1987,4,98.666
1987,5,98.065
1987,6,99.141
1987,7,100.271
1987,8,99.863
1987,9,98.435
1987,10,98.11
1987,11,94.806
1987,12,92.37
1988,1,92.135
1988,2,92.515
1988,3,91.251
1988,4,90.493
1988,5,90.70299999999999
1988,6,91.803
1988,7,93.78399999999999
1988,8,94.586
1988,9,94.73100000000001
1988,10,92.648
1988,11,90.376
1988,12,89.84700000000001
1989,1,91.272
1989,2,91.425
1989,3,92.73100000000001
1989,4,93.09100000000001
1989,5,94.794
1989,6,96.225
1989,7,94.531
1989,8,94.74600000000001
1989,9,95.40799999999999
1989,10,94.065
1989,11,94.083
1989,12,93.175
1990,1,92.84700000000001
1990,2,92.96700000000001
1990,3,94.102
1990,4,94.007
1990,5,93.01
1990,6,93.307
1990,7,91.65700000000001
1990,8,90.24799999999999
1990,9,89.34899999999999
1990,10,87.59
1990,11,87.35799999999999
1990,12,88.23200000000001
1991,1,87.979
1991,2,86.881
1991,3,89.77799999999999
1991,4,90.74600000000001
1991,5,91.074
1991,6,92.212
1991,7,91.98299999999999
1991,8,91.005
1991,9,90.0
1991,10,89.316
1991,11,87.99600000000001
1991,12,87.176
1992,1,86.92
1992,2,87.994
1992,3,89.70700000000001
1992,4,89.179
1992,5,88.29799999999999
1992,6,87.141
1992,7,85.902
1992,8,85.40799999999999
1992,9,85.656
1992,10,87.32
1992,11,89.917
1992,12,89.98299999999999
1993,1,90.62799999999999
1993,2,90.712
1993,3,90.071
1993,4,88.28
1993,5,88.15
1993,6,88.39399999999999
1993,7,89.069
1993,8,88.662
1993,9,88.096
1993,10,88.76700000000001
1993,11,89.398
1993,12,89.314
1994,1,91.365
1994,2,90.81700000000001
1994,3,90.818
1994,4,90.681
1994,5,89.919
1994,6,89.60700000000001
1994,7,88.291
1994,8,88.03200000000001
1994,9,87.025
1994,10,86.31
1994,11,86.493
1994,12,88.125
1995,1,89.583
1995,2,88.90799999999999
1995,3,87.78200000000001
1995,4,84.756
1995,5,84.3
1995,6,84.234
1995,7,84.04899999999999
1995,8,85.928
1995,9,86.802
1995,10,86.684
1995,11,87.443
1995,12,87.67299999999999
1996,1,88.27799999999999
1996,2,88.18700000000001
1996,3,88.251
1996,4,88.27
1996,5,88.509
1996,6,88.787
1996,7,88.699
1996,8,88.09899999999999
1996,9,88.508
1996,10,88.977
1996,11,88.537
1996,12,89.086
1997,1,89.846
1997,2,91.39299999999999
1997,3,92.309
1997,4,92.665
1997,5,91.575
1997,6,91.135
1997,7,92.16
1997,8,93.711
1997,9,93.95299999999999
1997,10,94.61399999999999
1997,11,95.99700000000001
1997,12,99.36200000000001
1998,1,102.10799999999999
1998,2,100.39
1998,3,100.06
1998,4,99.785
1998,5,100.56200000000001
1998,6,102.727
1998,7,103.031
1998,8,104.641
1998,9,102.837
1998,10,99.946
1998,11,99.60799999999999
1998,12,98.711
1999,1,98.788
1999,2,100.005
1999,3,101.095
1999,4,100.999
1999,5,100.719
1999,6,101.152
1999,7,101.42299999999999
1999,8,100.428
1999,9,100.005
1999,10,99.537
1999,11,99.833
1999,12,99.93299999999999
2000,1,99.87100000000001
2000,2,101.23299999999999
2000,3,101.71
2000,4,102.28200000000001
2000,5,104.515
2000,6,103.619
2000,7,103.89299999999999
2000,8,104.368
2000,9,105.84299999999999
2000,10,107.344
2000,11,107.956
2000,12,107.105
2001,1,107.458
2001,2,108.26700000000001
2001,3,109.861
2001,4,110.499
2001,5,110.54299999999999
2001,6,111.36399999999999
2001,7,111.493
2001,8,109.51700000000001
2001,9,110.12899999999999
2001,10,110.51899999999999
2001,11,110.999
2001,12,110.944
2002,1,112.17399999999999
2002,2,112.76700000000001
2002,3,112.155
2002,4,111.927
2002,5,110.419
2002,6,108.955
2002,7,107.36399999999999
2002,8,108.65299999999999
2002,9,109.48700000000001
2002,10,110.28299999999999
2002,11,109.05799999999999
2002,12,108.48200000000001
2003,1,107.18299999999999
2003,2,107.322
2003,3,106.834
2003,4,105.664
2003,5,102.119
2003,6,101.613
2003,7,102.87700000000001
2003,8,104.24
2003,9,103.178
2003,10,100.866
2003,11,100.46799999999999
2003,12,99.12100000000001
2004,1,97.648
2004,2,98.24600000000001
2004,3,99.156
2004,4,99.74600000000001
2004,5,101.485
2004,6,100.64299999999999
2004,7,99.85799999999999
2004,8,99.823
2004,9,99.54700000000001
2004,10,98.383
2004,11,96.184
2004,12,95.05799999999999
2005,1,95.45
2005,2,95.698
2005,3,95.307
2005,4,96.234
2005,5,96.47
2005,6,97.334
2005,7,97.98700000000001
2005,8,97.148
2005,9,98.022
2005,10,98.90899999999999
2005,11,99.04899999999999
2005,12,98.264
2006,1,97.124
2006,2,97.31299999999999
2006,3,97.516
2006,4,97.021
2006,5,95.1
2006,6,96.34100000000001
2006,7,96.491
2006,8,96.056
2006,9,95.73700000000001
2006,10,95.465
2006,11,94.484
2006,12,93.88799999999999
2007,1,94.82700000000001
2007,2,94.65
2007,3,94.417
2007,4,93.291
2007,5,92.63
2007,6,92.359
2007,7,90.979
2007,8,91.175
2007,9,90.096
2007,10,88.163
2007,11,87.124
2007,12,87.76899999999999
2008,1,87.111
2008,2,86.054
2008,3,84.38600000000001
2008,4,83.95700000000001
2008,5,84.30799999999999
2008,6,84.802
2008,7,84.398
2008,8,86.461
2008,9,88.575
2008,10,93.654
2008,11,94.491
2008,12,92.99600000000001
2009,1,93.777
2009,2,96.406
2009,3,96.618
2009,4,94.22200000000001
2009,5,91.49600000000001
2009,6,90.868
2009,7,90.43299999999999
2009,8,89.366
2009,9,88.735
2009,10,87.59200000000001
2009,11,87.156
2009,12,87.389
2010,1,87.40100000000001
2010,2,88.406
2010,3,87.527
2010,4,86.925
2010,5,89.10799999999999
2010,6,89.45
2010,7,87.977
2010,8,87.20700000000001
2010,9,86.27
2010,10,83.912
2010,11,83.955
2010,12,84.59299999999999
2011,1,83.56700000000001
2011,2,82.98899999999999
2011,3,82.30799999999999
2011,4,81.02600000000001
2011,5,81.05199999999999
2011,6,80.834
2011,7,80.241
2011,8,80.789
2011,9,83.46
2011,10,84.036
2011,11,84.56200000000001
2011,12,85.24700000000001
2012,1,84.59
2012,2,83.33
2012,3,83.694
2012,4,83.898
2012,5,85.12799999999999
2012,6,86.229
2012,7,85.72
2012,8,85.16
2012,9,84.012
2012,10,83.81700000000001
2012,11,84.09899999999999
2012,12,83.38799999999999
2013,1,83.266
2013,2,84.12299999999999
2013,3,84.521
2013,4,83.925
