Month,Year,Price
5,1983,30.25
6,1983,31.38
7,1983,32.0
8,1983,31.59
9,1983,30.36
10,1983,30.37
11,1983,29.23
12,1983,29.6
1,1984,29.98
2,1984,30.55
3,1984,30.85
4,1984,30.26
5,1984,30.83
6,1984,29.75
7,1984,27.6
8,1984,29.23
9,1984,29.66
10,1984,28.46
11,1984,27.31
12,1984,26.41
1,1985,26.41
2,1985,26.73
3,1985,28.29
4,1985,27.63
5,1985,27.84
6,1985,26.87
7,1985,27.12
8,1985,28.08
9,1985,29.08
10,1985,30.38
11,1985,29.75
12,1985,26.3
1,1986,18.83
2,1986,13.26
3,1986,10.42
4,1986,13.34
5,1986,14.3
6,1986,12.78
7,1986,11.15
8,1986,15.9
9,1986,14.77
10,1986,15.27
11,1986,15.0
12,1986,17.94
1,1987,18.75
2,1987,16.6
3,1987,18.83
4,1987,18.73
5,1987,19.38
6,1987,20.29
7,1987,21.37
8,1987,19.73
9,1987,19.59
10,1987,19.96
11,1987,18.51
12,1987,16.7
1,1988,16.94
2,1988,16.01
3,1988,17.08
4,1988,17.99
5,1988,17.51
6,1988,15.16
7,1988,16.31
8,1988,15.18
9,1988,13.37
10,1988,13.58
11,1988,15.32
12,1988,17.24
1,1989,17.03
2,1989,18.15
3,1989,20.19
4,1989,20.42
5,1989,19.9
6,1989,20.27
7,1989,18.31
8,1989,18.83
9,1989,20.13
10,1989,19.94
11,1989,19.89
12,1989,21.82
1,1990,22.68
2,1990,21.54
3,1990,20.28
4,1990,18.54
5,1990,17.4
6,1990,17.07
7,1990,20.69
8,1990,27.32
9,1990,39.51
10,1990,35.23
11,1990,28.85
12,1990,28.44
1,1991,21.54
2,1991,19.16
3,1991,19.63
4,1991,20.96
5,1991,21.13
6,1991,20.56
7,1991,21.68
8,1991,22.26
9,1991,22.23
10,1991,23.37
11,1991,21.48
12,1991,19.12
1,1992,18.9
2,1992,18.68
3,1992,19.44
4,1992,20.85
5,1992,22.11
6,1992,21.6
7,1992,21.87
8,1992,21.48
9,1992,21.71
10,1992,20.62
11,1992,19.89
12,1992,19.5
1,1993,20.26
2,1993,20.6
3,1993,20.44
4,1993,20.53
5,1993,20.02
6,1993,18.85
7,1993,17.88
8,1993,18.29
9,1993,18.79
10,1993,16.92
11,1993,15.43
12,1993,14.17
1,1994,15.19
2,1994,14.48
3,1994,14.79
4,1994,16.9
5,1994,18.31
6,1994,19.37
7,1994,20.3
8,1994,17.56
9,1994,18.39
10,1994,18.19
11,1994,18.05
12,1994,17.76
1,1995,18.39
2,1995,18.49
3,1995,19.17
4,1995,20.38
5,1995,18.89
6,1995,17.4
7,1995,17.56
8,1995,17.84
9,1995,17.54
10,1995,17.64
11,1995,18.18
12,1995,19.55
1,1996,17.74
2,1996,19.54
3,1996,21.47
4,1996,21.2
5,1996,19.76
6,1996,20.92
7,1996,20.42
8,1996,22.25
9,1996,24.38
10,1996,23.35
11,1996,23.75
12,1996,25.92
1,1997,24.15
2,1997,20.3
3,1997,20.41
4,1997,20.21
5,1997,20.88
6,1997,19.8
7,1997,20.14
8,1997,19.61
9,1997,21.18
10,1997,21.08
11,1997,19.15
12,1997,17.64
1,1998,17.21
2,1998,15.44
3,1998,15.61
4,1998,15.39
5,1998,15.2
6,1998,14.18
7,1998,14.21
8,1998,13.34
9,1998,16.14
10,1998,14.42
11,1998,11.22
12,1998,12.05
1,1999,12.75
2,1999,12.27
3,1999,16.76
4,1999,18.66
5,1999,16.84
6,1999,19.29
7,1999,20.53
8,1999,22.11
9,1999,24.51
10,1999,21.75
11,1999,24.59
12,1999,25.6
1,2000,27.64
2,2000,30.43
3,2000,26.9
4,2000,25.74
5,2000,29.01
6,2000,32.5
7,2000,27.43
8,2000,33.12
9,2000,30.84
10,2000,32.7
11,2000,33.82
12,2000,26.8
1,2001,28.66
2,2001,27.39
3,2001,26.29
4,2001,28.46
5,2001,28.37
6,2001,26.25
7,2001,26.35
8,2001,27.2
9,2001,23.43
10,2001,21.18
11,2001,19.44
12,2001,19.84
1,2002,19.48
2,2002,21.74
3,2002,26.31
4,2002,27.29
5,2002,25.31
6,2002,26.86
7,2002,27.02
8,2002,28.98
9,2002,30.45
10,2002,27.22
11,2002,26.89
12,2002,31.2
1,2003,33.51
2,2003,36.6
3,2003,31.04
4,2003,25.8
5,2003,29.56
6,2003,30.19
7,2003,30.54
8,2003,31.57
9,2003,29.2
10,2003,29.11
11,2003,30.41
12,2003,32.52
1,2004,33.05
2,2004,36.16
3,2004,35.76
4,2004,37.38
5,2004,39.88
6,2004,37.05
7,2004,43.8
8,2004,42.12
9,2004,49.64
10,2004,51.76
11,2004,49.13
12,2004,43.45
1,2005,48.2
2,2005,51.75
3,2005,55.4
4,2005,49.72
5,2005,51.97
6,2005,56.5
7,2005,60.57
8,2005,68.94
9,2005,66.24
10,2005,59.76
11,2005,57.32
12,2005,61.04
1,2006,67.92
2,2006,61.41
3,2006,66.63
4,2006,71.88
5,2006,71.29
6,2006,73.93
7,2006,74.4
8,2006,70.26
9,2006,62.91
10,2006,58.73
11,2006,63.13
12,2006,61.05
1,2007,58.14
2,2007,61.79
3,2007,65.87
4,2007,65.71
5,2007,64.01
6,2007,70.68
7,2007,78.21
8,2007,74.04
9,2007,81.66
10,2007,94.53
11,2007,88.71
12,2007,95.98
1,2008,91.75
2,2008,101.84
3,2008,101.58
4,2008,113.46
5,2008,127.35
6,2008,140.0
7,2008,124.08
8,2008,115.46
9,2008,100.64
10,2008,67.81
11,2008,54.43
12,2008,44.6
1,2009,41.68
2,2009,44.76
3,2009,49.66
4,2009,51.12
5,2009,66.31
6,2009,69.89
7,2009,69.45
8,2009,69.96
9,2009,70.61
10,2009,77.0
11,2009,77.28
12,2009,79.36
1,2010,72.89
2,2010,79.66
3,2010,83.76
4,2010,86.15
5,2010,73.97
6,2010,75.63
7,2010,78.95
8,2010,71.92
9,2010,79.97
10,2010,81.43
11,2010,84.11
12,2010,91.38
1,2011,92.19
2,2011,96.97
3,2011,106.72
4,2011,113.93
5,2011,102.7
6,2011,95.42
7,2011,95.7
8,2011,88.81
9,2011,79.2
10,2011,93.19
11,2011,100.36
12,2011,98.83
1,2012,98.48
2,2012,107.07
3,2012,103.02
4,2012,104.87
5,2012,86.53
6,2012,84.96
7,2012,88.06
8,2012,96.47
9,2012,92.19
10,2012,86.24
11,2012,88.91
12,2012,91.82
1,2013,97.49
2,2013,92.05
3,2013,97.23
4,2013,93.46
